Dihedral Angle (deg),Energy (kJ/mol)
0.0,25.9019611193163
10.0,24.390558671228717
20.0,20.416291851535433
30.0,15.214090364776142
40.0,10.118680245328298
50.0,6.25261072393902
60.0,4.248933058254191
70.0,4.1571676947180745
80.0,5.717469273262956
90.0,8.558694569373884
100.0,11.85178599200763
110.0,14.413921662080163
120.0,15.273655133106365
130.0,14.07809813308711
140.0,11.15026855602119
150.0,7.313054447939577
160.0,3.5989592247372504
170.0,0.9511245653375706
180.0,0.0
190.0,0.9566105159396281
200.0,3.6088173597365163
210.0,7.317844036455834
220.0,11.151469247113551
230.0,14.077585338686287
240.0,15.269545762170248
250.0,14.406844913273563
260.0,11.842440831022248
270.0,8.548888885941047
280.0,5.717105532557513
290.0,4.156896652635571
300.0,4.254384757533032
310.0,6.252608504557327
320.0,10.118851193236761
330.0,15.212381008965616
340.0,20.41555062759849
350.0,24.387234181919492
360.0,25.901961302958906
