Dihedral Angle (deg),Energy (kJ/mol)
0.0,23.43132450361727
10.0,22.11706260676925
20.0,18.629041973042447
30.0,14.007419649972674
40.0,9.409145550121229
50.0,5.826568351300494
60.0,3.847477205469433
70.0,3.5908880514506354
80.0,4.942761452708903
90.0,7.610953994295637
100.0,10.77475026628563
110.0,13.2787113520216
120.0,14.205525580163036
130.0,13.198540583779623
140.0,10.525749649432155
150.0,6.946816606251745
160.0,3.439542622849309
170.0,0.9150647507938194
180.0,0.0
190.0,0.9147628245174155
200.0,3.438901932754109
210.0,6.946259344148594
220.0,10.525456923418917
230.0,13.197650507176627
240.0,14.205346066793371
250.0,13.278642949516726
260.0,10.774281986673069
270.0,7.6111776491986625
280.0,4.942919003363283
290.0,3.5903164799993097
300.0,3.847891658695836
310.0,5.82762573706172
320.0,9.409556249158507
330.0,14.007567754561881
340.0,18.62906023066931
350.0,22.11641593138771
360.0,23.43132533541902
