SMILES,Name,ID,Source,HeavyAtomCount,MolWt,MolLogP,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumRotatableBonds,NumAromaticRings,TPSA
COc1cc(C[C@H]2CO[C@H](O)[C@@H]2Cc2ccc(O)c(OC)c2)ccc1O,CHEMBL584197,CHEMBL584197,ChEMBL,26,360.406,2.481,3,6,6,3,6,2,88.380
O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)cc1F,CHEMBL590981,CHEMBL590981,ChEMBL,26,422.151,-2.479,6,14,10,6,6,1,217.840
COC1=CC(=O)c2c(CCNC(=O)OCc3ccccc3)n[nH]c2C1=O,CHEMBL590067,CHEMBL590067,ChEMBL,26,355.350,1.788,2,8,6,2,6,2,110.380
CC(C)[C@H](NC(=O)[C@H](CS)NC(=O)CS)C(N)=O,CHEMBL1077410,CHEMBL1077410,ChEMBL,18,293.414,-1.043,4,6,5,5,7,0,101.290
O=C(Nc1ccccc1)c1cnn2ccccc12,CHEMBL1077476,CHEMBL1077476,ChEMBL,18,237.262,2.587,1,4,3,1,2,3,46.400
CC(=O)CSc1cnnn1-c1ccccc1,CHEMBL1082938,CHEMBL1082938,ChEMBL,16,233.296,1.948,0,4,5,0,4,2,47.780
Clc1cc2nc(NCCc3ccc(NC4=NCCCS4)cc3)sc2cc1Cl,CHEMBL1076268,CHEMBL1076268,ChEMBL,27,437.421,6.163,2,4,6,2,5,3,49.310
NC(=O)C[C@H](NC(=O)CS)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,CHEMBL1077444,CHEMBL1077444,ChEMBL,24,352.416,-1.511,6,8,5,5,9,1,144.380
N#CCc1c(C(=O)N2CCc3ccccc3C2)nn(-c2ccccc2Cl)c1-c1ccc(Cl)cc1,CHEMBL602507,CHEMBL602507,ChEMBL,34,487.390,6.111,0,5,4,0,4,4,61.920
O=C(C1=C(O)c2ccccc2S(=O)(=O)N1Cc1ccccc1)c1ccccc1,CHEMBL602514,CHEMBL602514,ChEMBL,28,391.448,4.001,1,5,4,1,4,3,74.680
O=C(O)/C=C/C(=O)Nc1ccc(Cl)c(Cl)c1,CHEMBL1077287,CHEMBL1077287,ChEMBL,16,260.076,2.573,2,4,2,2,3,1,66.400
Oc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,CHEMBL1076555,CHEMBL1076555,ChEMBL,20,302.786,4.913,2,3,4,2,3,3,45.150
CN1CC[C@]23CC(=O)CC[C@@]2(O)[C@H]1Cc1ccccc13,CHEMBL606769,CHEMBL606769,ChEMBL,20,271.360,1.669,1,3,3,1,0,1,40.540
CC[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](O)c1cc(OCCCN(C)C)nc2ccc(OC)cc12,CHEMBL588329,CHEMBL588329,ChEMBL,31,427.589,3.728,1,6,6,1,9,2,58.060
C[C@H](NC(=O)Cc1ccccc1)C(=O)N[C@H](C)C(=O)O,CHEMBL1160429,CHEMBL1160429,ChEMBL,20,278.308,0.323,3,6,3,3,6,1,95.500
COc1ccccc1C1=C(Nc2ccccc2)C(=O)NC1=O,CHEMBL156263,CHEMBL156263,ChEMBL,22,294.310,2.175,2,5,4,2,4,2,67.430
Cc1cn([C@H]2C[C@H](n3cc(-c4ccccn4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,CHEMBL1091719,CHEMBL1091719,ChEMBL,27,370.369,0.020,2,10,9,2,4,3,127.920
Oc1ccc2[nH]cc(CCC3CCNCC3)c2c1,CHEMBL1159866,CHEMBL1159866,ChEMBL,18,244.338,2.806,3,3,2,3,3,2,48.050
O=S(=O)(O)OC[C@H]1OCC[C@@H](OCc2ccccc2)C1OS(=O)(=O)O,CHEMBL1160112,CHEMBL1160112,ChEMBL,25,398.411,0.368,2,10,8,2,8,1,145.660
N#Cc1cc(Cl)cc(Oc2c(F)c(CCc3cccc(Cl)c3)[nH]c(=O)c2Br)c1,CHEMBL3347280,CHEMBL3347280,ChEMBL,28,482.136,6.032,1,4,3,1,5,3,65.880
NC(=O)CCc1ccc(S(=O)(=O)NCc2ccccc2)cc1,CHEMBL3347285,CHEMBL3347285,ChEMBL,22,318.398,1.583,3,5,3,2,7,2,89.260
Cc1ccccc1NC(=O)Nc1ccc([N+](=O)[O-])cc1O,CHEMBL609468,CHEMBL609468,ChEMBL,21,287.275,3.253,3,7,4,3,3,2,104.500
COC(=O)c1ccc2c(=O)n(Nc3nc(C)cc(C)n3)[n+](SCc3cccc(Cl)c3)cc2c1,CHEMBL611733,CHEMBL611733,ChEMBL,33,482.973,3.708,1,8,8,1,6,4,89.990
Cc1cc(C)c(Oc2ccnc(Nc3ccc(C#N)cc3)n2)c(C)c1,CHEMBL305803,CHEMBL305803,ChEMBL,25,330.391,4.809,1,5,5,1,4,3,70.830
CCOC(=O)c1c(-c2ccc(OC)cc2)[nH]c2cc(OC)ccc2c1=O,CHEMBL1088996,CHEMBL1088996,ChEMBL,26,353.374,3.389,1,6,5,1,5,3,77.620
O=C(O)Cc1cccn(C(F)F)c1=O,CHEMBL1089958,CHEMBL1089958,ChEMBL,14,203.144,0.871,1,4,3,1,3,1,59.300
CN(C)Cc1cccc(-c2cc3c(-c4cnn(C)c4)ccnc3[nH]2)c1,CHEMBL1090670,CHEMBL1090670,ChEMBL,25,331.423,3.692,1,5,4,1,4,4,49.740
O=C(NCC1CCNCC1)c1ccncc1-c1cccc(Cl)c1,CHEMBL1086503,CHEMBL1086503,ChEMBL,23,329.831,3.131,2,4,3,2,4,2,54.020
Nc1ccc(-n2cc(-c3cccc(NC(=O)CCCCCCC(=O)NO)c3)nn2)cc1,CHEMBL1094708,CHEMBL1094708,ChEMBL,31,422.489,3.301,5,9,7,4,10,3,135.160
COc1ccc(C(=O)O/N=C2/C=C(C)C(=O)C=C2C)cc1,CHEMBL1093605,CHEMBL1093605,ChEMBL,21,285.299,2.683,0,5,5,0,3,1,64.960
